"LOG_ID","TABLE_NAME","ROW_ID","LOG_TYPE","COLUMN_NAME","NEW_VALUE","OLD_VALUE","EMP_ID","HOST_NAME","IP","ACTION_DATE"
348028,"lib_reserve_list","3",1,"BOOK_ID","105501","","T181285","WEB","",04-SEP-20
348029,"lib_reserve_list","4",1,"BOOK_ID","105502","","T170901","WEB","",04-SEP-20
