"LOAN_ID","INV_ID","USER_CID","BORROW_DATE","DUE_DATE","DELIVERY_DATE","LOCKED","OLD_ID","CEZA","CEZA_ODENIB","UZATMA_SAYI"
200650,194,"P18I016",16-OCT-20,21-OCT-20,,0,,,,0
200653,55544,"T181285",02-OCT-20,28-OCT-20,,1,,0,0,0
200654,55546,"T181285",02-OCT-20,28-OCT-20,,1,,0,0,0
200649,57103,"T181285",02-OCT-20,28-OCT-20,,1,,0,0,0
