"PUBLISHER_ID","NAME","TEMP_PUB_ID","COMMERCIAL_NAME","ADDRESS"
12824,"Macmillan Publishing Co,Inc",12824,"",""
12825,"ЭКСМО-ПРЕСС",12825,"",""
12826,"Көркем әдебиет баспасы",12826,"",""
12827,"American Basin ve Kultur Merkezi",12827,"",""
12828,"Илби",12828,"",""
12829,"T. Kulturune Hizmet V.",12829,"",""
12830,"Random House",12830,"",""
12831,"Redhouse yayinevi",12831,"",""
12832,"FES",12832,"",""
12833,"КРАМДС-Ахмед Яссауи",12833,"",""
12834,"Гылым",12834,"",""
12835,"Milli egitim basimevi",12835,"",""
12836,"Ardic Yayinlari",12836,"",""
12837,"Meydan Yayinevi",12837,"",""
12838,"Регулярная и хаотическая динамика",12838,"",""
12839,"УРСС",12839,"",""
12840,"CQ Press",12840,"",""
12841,"Болашақ балапандары",12841,"",""
12842,"Wiley Publishing,Inc",12842,"",""
12843,"Арыс - ""Қазахстан""",12843,"",""
12844,"Promat basim yayin san. ve Tic. A.S.",12844,"",""
12845,"Шартарап",12845,"",""
12846,"Ақмола Полиграфия",12846,"",""
12847,"Нар.асвета",12847,"",""
12848,"Санкт-Петербургское издательство №6",12848,"",""
12849,"ФизМатЛит",12849,"",""
12850,"Иван Федоров",12850,"",""
12851,"Nesil cocuk",12851,"",""
12852,"Lawrence Erblaum Ass. Pub.",12852,"",""
12853,"санат",12853,"",""
12854,"Zambak",12854,"",""
12855,"Тұран",12855,"",""
12856,"Орталық ғылыми кітапхана",12856,"",""
12857,"ЧеРо Юрайт",12857,"",""
12858,"Центраудит-Казахстан",12858,"",""
12859,"George Allen & Unwin",12859,"",""
12860,"Uludag Universitesi",12860,"",""
12863,"Eco Mark Program",12863,"",""
12864,"Akademik arastirmalari",12864,"",""
12865,"Эльбрус",12865,"",""
12866,"Высшая Школа",12866,"",""
12867,"Караван",12867,"",""
12868,"Progress Publishers",12868,"",""
12869,"Государсвенное Издательство Детской Литературы Министерства Просвещения РСФСР",12869,"",""
12870,"Koc kultur hizmetleri",12870,"",""
12871,"Kayseri B.B.",12871,"",""
12872,"fono mektupla ogretim kurumu yayinlari",12872,"",""
12873,"Металлургия",12873,"",""
12874,"Юлдузча",12874,"",""
12875,"Пик-Контекст",12875,"",""
12876,"РЮКПО ""Полиграфия""",12876,"",""
12877,"Зерде",12877,"",""
12878,"Баспа үйі",12878,"",""
12879,"Ғақлия",12879,"",""
12880,"Институт литературы и искусства",12880,"",""
12881,"BHV",12881,"",""
12882,"Информ-А",12882,"",""
12883,"Азия",12883,"",""
12884,"Информ",12884,"",""
12885,"Мұрагер",12885,"",""
12886,"Ислам кітапханасы",12886,"",""
12887,"ОНИКС 21 век",12887,"",""
12888,"Гостиный дворь",12888,"",""
12889,"Мин.Образ.и Науки Рес.Каз.",12889,"",""
12890,"Пресса",12890,"",""
12891,"Анкил",12891,"",""
12892,"tehabi books",12892,"",""
12893,"Book/Cole",12893,"",""
12894,"alcoholics anonymous world services",12894,"",""
12895,"Учебно - педогагическое издательства РСФСР",12895,"",""
12896,"Қасиет",12896,"",""
12897,"Балалар әдебиетi баспасы",12897,"",""
12898,"Оникс",12898,"",""
12899,"Акбар",12899,"",""
12900,"Нұра-Астана",12900,"",""
12901,"Мұнайшы",12901,"",""
12902,"Ақниет",12902,"",""
12903,"Борки",12903,"",""
12904,"Ратитет",12904,"",""
12905,"Еңбек",12905,"",""
12906,"Академия Парапсихологии",12906,"",""
12907,"Алаш тарихи-зерттеу орталығы",12907,"",""
12908,"Эксклюзив",12908,"",""
12909,"Азамат",12909,"",""
12910,"Паритет",12910,"",""
12911,"Феникс",12911,"",""
12912,"Қаз ақпарат",12912,"",""
12913,"ҚазАқпарат",12913,"",""
12914,"Жетi жарғы",12914,"",""
12915,"Институт языкознания им. Байтурсынова",12915,"",""
12916,"Директорлар Институты",12916,"",""
12917,"Баур",12917,"",""
12918,"Сөздiк-Словарь",12918,"",""
12919,"Онер",12919,"",""
12920,"Шаяхметов Шю атындағы Тілдерді дамытутудың республикалық үйлестіру-әдістемелік орталығы",12920,"",""
12921,"ММШ",12921,"",""
12922,"Тіл",12922,"",""
12923,"Білге",12923,"",""
12924,"Амфора",12924,"",""
12925,"Дүниежүзі қазақтарының қауымдастығы",12925,"",""
12926,"Гранд",12926,"",""
12927,"Аспект Пресс",12927,"",""
12928,"медиадом",12928,"",""
12929,"СПбКО",12929,"",""
12930,"МарТ",12930,"",""
12931,"Шапағат-нұр",12931,"",""
12932,"МЦФЭР-Казахстан",12932,"",""
12933,"КНОРУС",12933,"",""
12934,"ЮНИТИ-ДАНА",12934,"",""
12935,"Издательский центр ОФППИ ""Интеграл""",12935,"",""
12936,"Дайк-пресс",12936,"",""
12937,"М.О.Әуезов атындағы әдебиет және өнер институты",12937,"",""
12938,"ғылыми",12938,"",""
12939,"Одиссей",12939,"",""
12940,"Центр стратегических и политических исследований",12940,"",""
12941,"Кие лингвоелтану инновациялық орт.",12941,"",""
12942,"Қазақ гуманитарлық заң университетінің баспасы",12942,"",""
12943,"Памятник исторической мысли",12943,"",""
12944,"Гласир",12944,"",""
12945,"Алматинский изд дом",12945,"",""
12946,"болашақ-Баспа",12946,"",""
12947,"Болшақ",12947,"",""
12948,"Риор",12948,"",""
12949,"IUS",12949,"",""
12950,"Sistem yayincilik",12950,"",""
12951,"Penguin popular Poetry",12951,"",""
12952,"Wesley",12952,"",""
12953,"Morgan Kaufmann",12953,"",""
12954,"IOS press",12954,"",""
12955,"University of Texas at Austin",12955,"",""
12956,"Prentice hall PTR",12956,"",""
12957,"Universiteit twente",12957,"",""
12958,"Mcgraw-hill Book Company",12958,"",""
12959,"Thoson course technologies",12959,"",""
12960,"Nauka",12960,"",""
12961,"Unlu",12961,"",""
12962,"W.H.Freeman and Company",12962,"",""
12963,"Форум",12963,"",""
12964,"Jones and Barlett Publishers",12964,"",""
12965,"Магистр",12965,"",""
12966,"КИЕ",12966,"",""
12967,"Pearson Education,inc",12967,"",""
12968,"Зерцало-М",12968,"",""
12969,"Налоговый эксперт",12969,"",""
12970,"Таңба",12970,"",""
12971,"Sansam",12971,"",""
12972,"ЮСТИЦИНФОРМ",12972,"",""
12973,"Әрекет-Принт",12973,"",""
12974,"ФАИР",12974,"",""
12975,"Nesil Matbaacilik",12975,"",""
12976,"Грифон",12976,"",""
12977,"Арт- Родник",12977,"",""
12978,"ООО ""И.Д. Вильямс""",12978,"",""
12979,"ООО ""ТИД""ДС""",12979,"",""
12980,"Hunt Publishing Company",12980,"",""
12981,"Prentice-Hall of India",12981,"",""
12982,"Richard Clay ltd",12982,"",""
12983,"University twente",12983,"",""
12984,"THOMON SOUTH-WESTERN",12984,"",""
12985,"Pacific research institute for public policy",12985,"",""
12986,"Houghton Mifflin Comp.",12986,"",""
12987,"Thomson Peterson's",12987,"",""
12988,"Prentice Hall International",12988,"",""
12989,"Aerie Books Ltd",12989,"",""
12990,"CBS college publishing",12990,"",""
12991,"Rauan",12991,"",""
12992,"Gold standard press",12992,"",""
12993,"Издательство ""Менеджер""",12993,"",""
12994,"Brooks/Cole Company",12994,"",""
12995,"Alfred A. Knopf,Inc",12995,"",""
12996,"Progress publishers",12996,"",""
12997,"The Viking Press",12997,"",""
12998,"Otuken",12998,"",""
12999,"Elsevier North Holland",12999,"",""
13000,"Redford books of St.Martin's press",13000,"",""
13001,"Grove Press",13001,"",""
13002,"Martinus Nijhoff Publishing",13002,"",""
13003,"Cole Publishing Company",13003,"",""
13004,"Thomson Wadworth",13004,"",""
13005,"Hill and wang",13005,"",""
13006,"Holland & Davis",13006,"",""
13007,"Denis McQuail",13007,"",""
13008,"Paris-Coulommiers",13008,"",""
13009,"Los Angeles unified school district",13009,"",""
13010,"Aladdin Fantasy",13010,"",""
13011,"Lord Publishing",13011,"",""
13012,"McGraw-Hill Companies, inc",13012,"",""
13013,"Fred Pyrczak publisher",13013,"",""
13014,"The ICFAI Center for Management Research",13014,"",""
13015,"Mcknight Publishing Company",13015,"",""
13016,"Yucel ofset Ltd",13016,"",""
13017,"Basimevi ve film merkezi mudurlugu",13017,"",""
13018,"Turk dunyasi arastirmalari vakfi",13018,"",""
13019,"Milli egitim bakanligi yayinlari",13019,"",""
12861,"Turhan kitabevi",12861,"",""
12862,"МИР",12862,"",""
13020,"John Benjamins B V",13020,"",""
13021,"Morton publishing company",13021,"",""
13022,"Houghton Mifflin company",13022,"",""
13023,"Jupiter-Inter",13023,"",""
13024,"McGraw-Hill Book,Inc",13024,"",""
13025,"Har.& Row",13025,"",""
13026,"North Coast Publishers, Inc.",13026,"",""
13027,"Erdem Yayinlari Ticaret Limitet sirketi",13027,"",""
13028,"T.C. Kultur Bakanligi yayinlari",13028,"",""
13029,"Manchester university press",13029,"",""
13030,"Boyut matbaacilik",13030,"",""
13031,"Can Yayinlari ltd",13031,"",""
13032,"Farabi",13032,"",""
13033,"Suna yayinlari",13033,"",""
13034,"Esin Yaynevi,",13034,"",""
13035,"The Cromwell Press",13035,"",""
13036,"The Viking press",13036,"",""
13037,"Damla yayinevi Ltd",13037,"",""
13038,"erdem yayinlari",13038,"",""
13039,"Zoubovski boulevard",13039,"",""
13040,"Tomurcuk yayinlari",13040,"",""
13430,"Шаяхметов атындағы Тілдерді дамытудың республикалық уйлестіру-әдістемелік орталығы",13430,"",""
13431,"Юф ""Саят Жолши и Партнеры""",13431,"",""
13432,"Закон и права",13432,"",""
13433,"Институт Центральной Азии и Кавказа",13433,"",""
13434,"Госфиниздат",13434,"",""
13435,"Дашков и К",13435,"",""
13436,"Весь Мир",13436,"",""
13437,"Национальный центр археографии и источниковедения",13437,"",""
13438,"Unigue servise",13438,"",""
13439,"Елтаным",13439,"",""
13440,"Антология",13440,"",""
13441,"Берен",13441,"",""
13442,"Пресс-Сервис",13442,"",""
13443,"Фонд Индия-Центральная Азия",13443,"",""
13444,"ДАНА",13444,"",""
13445,"Жас Түркістан",13445,"",""
13446,"Глосса",13446,"",""
13447,"Print-S ЖШС",13447,"",""
13448,"Stanley Thornes (Publishers) Ltd",13448,"",""
13449,"Sun Microsystems",13449,"",""
13450,"Manning publications",13450,"",""
13451,"Silicon Press",13451,"",""
13452,"Course technology",13452,"",""
13453,"Pusula",13453,"",""
13454,"Chapman & Hall",13454,"",""
13455,"Indianapolis",13455,"",""
13456,"Premier Press",13456,"",""
13457,"Wm.C.Brown Publishers",13457,"",""
13458,"Cisco Systems",13458,"",""
13459,"Addison-Wesley Publishing company",15327,"",""
13460,"McGraw Hill",13460,"",""
13461,"Prentice-Hall,inc",13461,"",""
13462,"Arkadas",13462,"",""
13463,"Альфа-М",13463,"",""
13464,"Addison-Wesley Publishing company,Inc",15327,"",""
13465,"Viewed&sohn Verlagsgellschaft",13465,"",""
13466,"Zambak publishing",13466,"",""
13467,"Жеті Жарғы",13467,"",""
13468,"Макет",13468,"",""
13469,"Қазақстан Баһаиларының Рухани Жиналысы",13469,"",""
13470,"ПМПИ",13470,"",""
13471,"Л.Н.Гумилев атындағы Еуразия ұлттық университеті",13471,"",""
13472,"Теларна",13472,"",""
13473,"ЮНИТИ",13473,"",""
13474,"Зерна",13474,"",""
13475,"Дайк Пресс",13475,"",""
13476,"Фирма Арт",13476,"",""
13477,"Туркменистан",13477,"",""
13478,"КИЦ Института экономики КН МОН РК",13478,"",""
13479,"Институт экономики КН МОН РК",13479,"",""
13480,"Олимп-Бизнес",13480,"",""
13481,"Издательство ""Наука""",13481,"",""
13482,"Penquin Group",13482,"",""
13483,"Thomson Delmar learning",13483,"",""
13484,"West publishing co",13484,"",""
13485,"Belmont Books",13485,"",""
13486,"Slovak Academy of Sciences,Insrtitute of Informatics",13486,"",""
13487,"William Heinemann",13487,"",""
13488,"Bridge Publications,Inc",13488,"",""
13489,"Sanat printers",13489,"",""
13490,"Express publishing",13490,"",""
13491,"Баян-Өлгий",13491,"",""
13492,"Деловой Мир",13492,"",""
13493,"KAU",13493,"",""
13494,"New era publications",13494,"",""
13495,"Zheti Zhargy",13495,"",""
13496,"Hacket publishingcompany",13496,"",""
13497,"Troublemaker Publishing",13497,"",""
13498,"Publication on Public Ministry of Culture",13498,"",""
13499,"Chimera Classics",13499,"",""
13500,"Saxon Publishers",13500,"",""
13501,"United Nations",13501,"",""
13502,"Harper Collins College Publishers",13502,"",""
13503,"Higher School Publishing House",13503,"",""
13504,"McGraw-Hill, IRWIN",13504,"",""
13505,"Foreign Language Press",13505,"",""
13506,"Zephyr Press",13506,"",""
13507,"King books",13507,"",""
13508,"Verlag der Nation",13508,"",""
13509,"Putnam's sons",13509,"",""
13510,"Allied published limited",13510,"",""
13511,"Priority",13511,"",""
13512,"The Belknap Press of Harvard University Press",13512,"",""
13513,"University of Oklahoma",13513,"",""
13514,"Novaprinti basimevi",13514,"",""
13515,"Turk isbirligi ve kalkinma ajansi",13515,"",""
13516,"Urania-Verlag Leipzig",13516,"",""
13517,"Butterworth-Heinemann",13517,"",""
13518,"VIKAS",13518,"",""
13519,"ERR",13519,"",""
13520,"John Wiley & Sons",13520,"",""
13521,"Federal Reserve Bank of Chicago",13521,"",""
13523,"Pitman publishing",13523,"",""
13524,"Macmillian",13524,"",""
13525,"The center for the future of children",13525,"",""
13526,"The travel book club",13526,"",""
13527,"Glaciere",13527,"",""
13528,"Flamingo",13528,"",""
13529,"T.C.Kultur Bakanligi",13529,"",""
13530,"Nesil yayinlari",13530,"",""
13531,"Cle international",13531,"",""
13532,"New Americal library",13532,"",""
13533,"Editions Prosvechtechenie",13533,"",""
13534,"EPS/Players press",13534,"",""
13535,"Harper Perennial",13535,"",""
13536,"United nations publication",13536,"",""
13537,"Varlik",13537,"",""
13538,"Artia Prague",13538,"",""
13539,"Russki yazik",13539,"",""
