"INV_ID","PRINT_DATE","WEB_LOG","INVENTORY_NO"
78317,,,78317
78318,,,78318
78319,,,78319
78320,,,78320
78321,,,78321
78322,,,78322
78323,,,78323
78324,,,78324
78325,,,78325
78326,,,78326
78327,,,78327
78328,,,78328
78329,,,78329
78330,,,78330
78331,,,78331
78332,,,78332
78333,,,78333
78334,,,78334
78335,,,78335
78336,,,78336
78337,,,78337
78338,,,78338
78339,,,78339
78340,,,78340
78341,,,78341
78342,,,78342
78343,,,78343
78344,,,78344
78345,,,78345
78346,,,78346
78347,,,78347
78348,,,78348
78349,,,78349
78350,,,78350
78351,,,78351
78352,,,78352
78353,,,78353
78354,,,78354
78355,,,78355
78356,,,78356
78357,,,78357
78358,,,78358
78359,,,78359
78360,,,78360
78361,,,78361
78362,,,78362
78363,,,78363
78364,,,78364
39330,,,39330
39331,,,39331
39332,,,39332
39333,,,39333
39334,,,39334
39335,,,39335
39336,,,39336
39337,,,39337
39338,,,39338
39339,,,39339
39340,,,39340
39341,,,39341
39342,,,39342
39343,,,39343
39344,,,39344
39345,,,39345
39346,,,39346
39347,,,39347
39348,,,39348
39349,,,39349
39350,,,39350
39351,,,39351
39352,,,39352
39353,,,39353
39354,,,39354
39355,,,39355
39356,,,39356
39357,,,39357
39358,,,39358
39359,,,39359
39360,,,39360
39361,,,39361
39362,,,39362
39363,,,39363
39364,,,39364
39365,,,39365
39366,,,39366
39367,,,39367
39368,,,39368
39369,,,39369
39370,,,39370
39371,,,39371
39372,,,39372
39373,,,39373
39374,,,39374
39375,,,39375
39376,,,39376
39377,,,39377
39378,,,39378
39379,,,39379
39380,,,39380
39381,,,39381
39382,,,39382
39383,,,39383
39384,,,39384
39385,,,39385
39386,,,39386
39387,,,39387
39388,,,39388
39389,,,39389
39390,,,39390
39391,,,39391
39392,,,39392
39393,,,39393
39394,,,39394
39395,,,39395
39396,,,39396
39397,,,39397
39398,,,39398
39399,,,39399
39400,,,39400
39401,,,39401
39402,,,39402
39403,,,39403
39404,,,39404
39405,,,39405
39406,,,39406
39407,,,39407
39408,,,39408
39409,,,39409
39410,,,39410
39411,,,39411
39412,,,39412
39413,,,39413
39414,,,39414
39415,,,39415
39416,,,39416
39417,,,39417
39418,,,39418
39419,,,39419
39420,,,39420
39421,,,39421
39422,,,39422
39423,,,39423
39424,,,39424
39425,,,39425
39426,,,39426
39427,,,39427
39428,,,39428
39429,,,39429
39430,,,39430
39431,,,39431
39432,,,39432
39433,,,39433
39434,,,39434
39435,,,39435
39436,,,39436
84600,,,84600
84601,,,84601
84602,,,84602
84603,,,84603
84604,,,84604
84605,,,84605
84606,,,84606
84607,,,84607
84608,,,84608
84609,,,84609
84610,,,84610
84611,,,84611
84612,,,84612
84613,,,84613
84614,,,84614
84615,,,84615
84616,,,84616
84617,,,84617
84618,,,84618
84619,,,84619
84620,,,84620
84621,,,84621
84622,,,84622
84623,,,84623
84624,,,84624
84625,,,84625
84626,,,84626
84627,,,84627
84628,,,84628
84629,,,84629
84630,,,84630
84631,,,84631
84632,,,84632
84633,,,84633
84634,,,84634
84635,,,84635
84636,,,84636
84637,,,84637
84638,,,84638
84639,,,84639
84640,,,84640
84641,,,84641
84642,,,84642
84643,,,84643
84644,,,84644
84645,,,84645
84646,,,84646
84647,,,84647
84648,,,84648
84649,,,84649
84650,,,84650
84651,,,84651
84652,,,84652
84653,,,84653
84654,,,84654
84655,,,84655
84656,,,84656
84657,,,84657
84658,,,84658
84659,,,84659
84660,,,84660
84661,,,84661
84662,,,84662
84663,,,84663
84664,,,84664
84665,,,84665
84666,,,84666
84667,,,84667
84668,,,84668
84669,,,84669
84670,,,84670
84671,,,84671
84672,,,84672
84673,,,84673
84674,,,84674
84675,,,84675
84676,,,84676
84677,,,84677
84678,,,84678
84679,,,84679
84680,,,84680
84681,,,84681
84682,,,84682
84683,,,84683
84684,,,84684
84685,,,84685
84686,,,84686
84687,,,84687
84688,,,84688
84689,,,84689
84690,,,84690
84691,,,84691
84692,,,84692
84693,,,84693
84694,,,84694
84695,,,84695
84696,,,84696
84697,,,84697
84698,,,84698
84699,,,84699
84700,,,84700
84701,,,84701
84702,,,84702
84703,,,84703
84704,,,84704
84705,,,84705
84706,,,84706
84707,,,84707
84708,,,84708
84709,,,84709
84710,,,84710
84711,,,84711
84712,,,84712
